Country	Population	Languages
Senegal	13975834	Wolof:43 Pulaar:21 Jola:14 Mandinka:5 French:1
Serbia	7176794	Serbian:88.1 Hungarian:3.4 Bosnian:1.9 Romany:1.4
Seychelles	92430	Seychellois:89.1 English:5.1 French:0.7
Sierra Leone	5879098	Themne:30 Krio:11 English:10 Kurambo:8 Limba:7
Singapore	5674472	Mandarin:36.3 English:29.8 Malay:11.9 Hokkien:8.1 Tamil:4.4 Cantonese:4.1 Teochew:3.2
Sint Maarten	37132	English:67.5 Spanish:12.9 Creole:8.2 Dutch:4.2 Papiamento:2.2 French:1.5
Slovakia	5445027	Slovak:78.6 Hungarian:9.4 Roma:2.3 Ruthenian:1
Slovenia	1983412	Slovenian:91.1 Serbo-Croatian:4.5
Solomon Islands	622469	Melanesian:12
Somalia	10616380	Somali:61 Maay:15
South Africa	53675563	IsiZulu:22.7 IsiXhosa:16 Afrikaans:13.5 English:9.6 Sepedi:9.1 Setswana:8 Sesotho:7.6 Xitsonga:4.5 siSwati:2.5 Tshivenda:2.4 isiNdebele:2.1
South Sudan	12042910	Arabic:43 Nuer:24
Spain	48146134	Spanish:74 Catalan:17 Galician:7 Basque:2
Sri Lanka	22053488	Sinhala:74 Tamil:18
Sudan	36108853	Arabic:82 Nubian:7
Suriname	579633	Dutch:23 English:12 Sranang:11 Tongo:17 Hindi:6 Javanese:5
Svalbard	1872	Norwegian:78 Russian:12
Swaziland	1435613	siSwati:89 English:7
Sweden	9801616	Swedish:91 Finnish:4 Sami:0.3 Roma:0.5
Switzerland	8121830	German:63.5 French:21.5 Italian:7.1 English:3.4 Portuguese:2.4 Albanian:3.1 Serbo-Croatian:1.5 Spanish:1.2 Romansch:0.5
Syria	17064854	Arabic:58 Kurdish:17 Armenian:7 Aramaic:4 Circassian:3
Taiwan	23415126	Taiwanese:65 Mandarin:21 Hokkien:11
Tajikistan	8191958	Tajik:81 Russian:5 Uzbek:2
Tanzania	51045882	Swahili:33 Arabic:8 Gogo:4 Hehe:2 Maskonde:2 Maasai:1 Bena:1 Asu:1
Thailand	67976405	Thai:90.7 Burmese:1.3
Timor-Leste	1231116	Tetum:93 Portuguese:3 Indonesian:2 English:1
Togo	7552318	Lama:32 Tem:24 Kabiye:13 Ewe:11 Mina:5
Tokelau	1337	Tokelauan:93.5 Kiribati:2.7
Tonga	106501	English:87 Tongan:10.7 English:1.2
Trinidad and Tobago	1222363	English:91 Hindi:1 French:1
Tunisia	11037225	Arabic:90 Berber:7 French:1
Turkey	79414269	Turkish:78 Kurdish:10
Turkmenistan	5231422	Turkmen:72 Russian:12 Uzbek:9
Turks and Caicos Islands	50280	English:100
Tuvalu	10869	Tuvaluan:78
Uganda	37101745	Swahili:31 Ganda:10 Nyankore:5 Soga:5 Chiga:4 Massaba:1 Acholi:1
Ukraine	44429471	Ukrainian:67.5 Russian:29.6
United Arab Emirates	5779760	Arabic:81 Farsi:13 Hindi:1 Urdu:1
United Kingdom	64088222	English:97
United States	321368864	English:79.2 Spanish:12.9 Mandarin:1.9 French:0.9 Tagalog:0.9 Vietnamese:0.8 Korean:0.7 German:0.6
Uruguay	3341893	Spanish:93 Portuguese:2 German:0.5
Uzbekistan	29199942	Uzbek:74.3 Russian:14.2 Tajik:4.4
Vanuatu	272264	local:63.2 Bislama:33.7 English:2 French:0.6
Venezuela	29275460	Spanish:96
Vietnam	94348835	Vietnamese:87.6 Mon-Khmer:7.3 Yue:4
Virgin Islands	103574	English:71.6 Spanish:17.2 French:8.6
Wallis and Futuna	15613	Wallisian:58.9 Futunian:30.1 French:10.8
Western Sahara	570866	Hassaniya:98.5
Yemen	26737317	Arabic:97.3 Mehri:0.3
Zambia	15066266	Bembe:33.4 Nyanja:14.7 Tonga:11.4 Lozi:5.5 Chewa:4.5 Nsenga:2.9 Tumbuka:2.5 Lunda:1.9 Kaonde:1.8 Lala:1.8 Lamba:1.8 English:1.7 Luvale:1.5 Mambwe:1.3 Namwanga:1.2 Lenje:1.1 Bisa:1
Zimbabwe	14229541	Shona:89 English:3
